"Source Type","Source","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID","GL","✓"
"Follow-Up Status","Chain Force Mode: Lightning","","Kindred Guidance: Lightning","PHY","Single enemy","Physical","2.02","Lightning, Holy, NE","0.01","One single attack (1.92/2.02) capped at 99999, 100% hit rate, grants [Lightning/Holy Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Knight","31542367","","✓"
"Follow-Up Status","Dual Awoken Empath Mode I (Vanille)","","Dual Compassionate Prayer","WHT","All allies","","","","0.01","Restores HP (25)","N","All allies","0","White Magic","31542362","","✓"
"Follow-Up Status","Dual Awoken Empath Mode II (Vanille)","","Dual Quick Cura","WHT","All allies","","","","0.01","Restores HP (55), grants [Quick Cast 3]","N","All allies","0","White Magic","31542363","","✓"
"Follow-Up Status","Zenith Mode: Snow (Ice)","","Spirit Attack: Snow (Ice)","PHY","Single enemy","Physical","2.40","Ice, NE","0.01","Four single attacks (0.60 each), 100% hit rate, damages the user for 25% max HP,  grants [Buff Ice 10% (15s)] and [Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Monk","31542433","","✓"
"Follow-Up Status","Chain Force Mode: Snow","","Ice Guidance: Snow","PHY","Single enemy","Physical","1.28","Ice, NE","0.01","One single attack (1.95/2.05) capped at 99999, grants [Ice Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Monk","31542435","","✓"
"Follow-Up Status","Chain Force Mode: Lightning (Lightning)","","Lightning Guidance: Lightning","BLK","Single enemy","Physical","1.28","Lightning, NE","0.01","Four single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Celerity","31542460","","✓"
"Follow-Up Status","Intensifying Firaga Follow-Up","","Intensifying Firaga","BLK","Single enemy","Magical","5.04","Fire, NE","0.01","4/5/6/7/8 single attacks (1.26/1.30/1.34/1.38/1.42 each) scaling with [Intensifying Firaga Uses]","Y","Lowest HP% enemy","0","Black Magic","30541411","✓","✓"
"Follow-Up Status","Icebrand Follow-Up","","Icebrand","BLK","Single enemy","Magical","8.52","Ice, NE","0.01","2/3/4/5/6 single attacks (1.42 each) at rank 1/2/3/4/5 of the triggering ability","Y","Lowest HP% enemy","0","Black Magic","30541021","✓","✓"
"Follow-Up Status","Cometeor Follow-Up","","Cometeor","SUM","Single enemy","Magical","16.40","Wind, NE","0.01","One single attack (16.40) capped at 99999","N","Lowest HP% enemy","0","Summoning","30543058","✓","✓"
"Follow-Up Status","Night's Prayer Follow-Up","","Night's Prayer (Fire/Ice/Lightning/Dark)","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 10% (15s)], grants [Buff Fire 10% (15s)]/Causes [Imperil Ice 10% (15s)], grants [Buff Ice 10% (15s)]/Causes [Imperil Lightning 10% (15s)], grants [Buff Lightning 10% (15s)]/Causes [Imperil Dark 10% (15s)], grants [Buff Dark 10% (15s)]  to the user if the triggering ability cause Fire/Ice/Lightning/Dark damage","Y","Lowest HP% enemy","0","Witch","30549183","✓","✓"
"Follow-Up Status","Ver Mode","","Empowered Burst","BLK","Single enemy","Magical","16.20","Wind, Lightning, NE","0.01","Fifteen single attacks (1.05 each), grants Black Mana +1 to the user","Y","Lowest HP% enemy","0","Black Magic","30541555","✓","✓"
"Follow-Up Status","Skybreaker's Might","","Nidhogg Skybreaker","PHY","Single enemy","Physical","4.50","Wind, Dark","0.01","One single ranged attack (4.50) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","31540209","✓","✓"
"Follow-Up Status","Azure Dragoon Mode","","Geirskogul","PHY","Single enemy","Physical","1.80","Wind, Dark, NE","0.01","Three single ranged attacks (0.60 each), grants [Damage Cap +10000 1] and [Crimson Dragoon Mode] to the user, removes [Azure Dragoon Mode] from the user","Y","Lowest HP% enemy","0","Dragoon","31540206","✓","✓"
"Follow-Up Status","Crimson Dragoon Mode","","Nastrond","PHY","Single enemy","Physical","1.95","Wind, Dark, NE","0.01","Five single ranged attacks (0.39 each), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","0","Dragoon","31540207","✓","✓"
"Follow-Up Status","Twin Destruction Follow-Up","","Twin Destruction","NAT","Single enemy","Hybrid","","Earth, Wind, Poison, NE","0.01","Two single hybrid attacks (4.45 or 18.36 each), ignores DEF and RES, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31540534","✓","✓"
"Follow-Up Status","Armor Crush Combo Follow-Up","","Armor Crush Combo","NAT","Single enemy","Hybrid","","Earth, Wind, Poison, NE","0.01","4/6/8 single hybrid attacks (0.32 or 198.00 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31540535","✓","✓"
"Follow-Up Status","Deep Meditation Mode","","Brotherhood","PHY","Single enemy","Physical","0.48","Fire, NE","0.01","One single attack (0.48), 100% hit rate, grants Chakra +1 to the user","Y","Lowest HP% enemy","0","Monk","31540524","✓","✓"
"Follow-Up Status","Umbral Freeze Follow-Up","","Umbral Freeze","?","Self","","","","0.01","Grants [Instant Cast 1] and [Ice +50% Boost 1]","?","Self","0","Summoning","","",""
"Follow-Up Status","Dual Awoken Ice Mode I (Ysayle)","","Dual Glacial Power","SUM","Single enemy","Magical","8.40","Ice, NE","0.01","Two single attacks (4.20 each), grants [Buff Ice 10% (5s)] and smart ether 1 to the user","N","Lowest HP% enemy","0","Summoning","31541569","✓","✓"
"Follow-Up Status","Dual Awoken Ice Mode II (Ysayle)","","Dual Millenary Wisdom","NAT","Single enemy","","","","0.01","Causes [Imperil Ice 20% (15s)]","N","Lowest HP% enemy","0","Summoning","31541570","✓","✓"
"Follow-Up Status","Dual Awoken Scion Red Mage Mode II (Alisaie)","","Dual Enchanted Zwerchhau","BLK","Single enemy","Magical","22.96","Wind, Lightning, NE","0.01","2/4 single attacks (3.02 each) if the user has Dual Black Mana level 0-1/2+, followed by one single attack (16.92) capped at 99999 if the user has Dual Black Mana level 3+","Y","Lowest HP% enemy","0","Black Magic","31541572","✓","✓"
"Follow-Up Status","Dual Awoken Monk Mode I: Yda","","Dual Hypervigilance","PHY","Single enemy","Physical","1.02","Fire, NE","0.01","One single attack (1.02), 100% hit rate, grants [40% Damage Reduction Barrier 1]/[HP Stock (2000)]/[Monk Quick Cast 3]/[Monk +30% Boost 2]/[Dualcast Monk 1] to all allies after 1+5n/2+5n/3+5n/4+5n/5+5n casts","Y","Lowest HP% enemy","0","Monk","31541851","✓","✓"
"Follow-Up Status","Chain Force Mode: Papalymo","","Fire Guidance: Papalymo","BLK","Single enemy","Magical","5.28","Fire, NE","0.01","Four single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31542108","","✓"
"Follow-Up Status","Chain Force Mode: Alphinaud","","Wind Guidance: Alphinaud","SUM","Single enemy","Magical","8.20","Wind, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with [Wind Guidance: Alphinaud Uses], grants [Wind Ability Quick Cast 2] to the user","N","Lowest HP% enemy","0","Summoning","31542113","","✓"
"Follow-Up Status","Pulse of Life Follow-Up","","Pulse of Life","BLK","Single enemy","Magical","7.80","Fire, Ice, Lightning, Dark, NE","0.01","Four single attacks (1.95 each), grants [HP Stock (2000)] to all allies","Y","Lowest HP% enemy","0","Witch","31542301","","✓"
"Follow-Up Status","Chain Force Mode: Y'shtola","","Kindred Guidance: Y'shtola","BLK","Single enemy","Magical","8.04","Fire, Ice, Lightning, Dark, NE","0.01","One single attack (7.27/8.04) capped at 99999 scaling with [Kindred Guidance: Y'shtola Uses], grants [(Fire/Ice/Lightning/Dark) Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Witch","31542310","","✓"
"Follow-Up Status","Future King EX Mode","","Warp Strike","PHY","Single enemy","Physical","2.00","-","0.01","Five single attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Combat","30544068","✓","✓"
"Follow-Up Status","Dragon Boost Follow-Up","","Dragon Boost","PHY","Single enemy","Physical","1.90","Lightning, Dark, NE","0.01","Five single ranged attacks (0.38 each), 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30548016","✓","✓"
"Follow-Up Status","Break Arts Mode","","Heavy Strike","PHY","Single enemy","Physical","1.56","Earth, NE","0.01","Three single attacks (0.52 each), 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548442","✓","✓"
"Follow-Up Status","Break Arts Mode","","Heavy Strike+","PHY","Single enemy","Physical","2.60","Earth, NE","0.01","Five single attacks (0.52 each), 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548443","✓","✓"
"Follow-Up Status","Break Arts Mode","","Heavy Strike++","PHY","Single enemy","Physical","2.60","Earth, NE","0.01","Five single attacks (0.52 each), 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548444","✓","✓"
"Follow-Up Status","Break Arts Mode","","Orbital Edge","PHY","Single enemy","Physical","10.00","Earth, NE","0.01","Ten single attacks (0.50 each) and one single attack (5.00) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548445","✓","✓"
"Follow-Up Status","Lion Flash Follow-up","","Lion Flash","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Five single attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Samurai","30549119","✓","✓"
"Follow-Up Status","Thunder Barret Follow-Up","","Thunder Barret 1","PHY","Single enemy","Physical","1.95","Lightning, NE","0.01","Five single ranged attacks (0.39 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","30549155","✓","✓"
"Follow-Up Status","Thunder Barret Follow-Up","","Thunder Barret 2","PHY","Single enemy","Physical","1.95","Lightning, NE","0.01","Five single ranged attacks (0.39 each), 100% hit rate, causes [Imperil Lightning 10% (15s)]","Y","Lowest HP% enemy","0","Machinist","30549156","✓","✓"
"Follow-Up Status","Awoken Water God","","Oracle's Prayer","SUM","Single enemy","Magical","14.60","Water, Holy, NE","0.01","Five single attacks (2.72/2.77/2.82/2.87/2.92 each), restores HP (10/15/25/35/45) to all allies at rank 1/2/3/4/5 of the triggering ability","N","Lowest HP% enemy","0","Summoning","30542912","✓","✓"
"Follow-Up Status","Tsunami (XV) Follow-Up","","Tsunami (XV)","SUM","Single enemy","Magical","15.40","Water, Holy, NE","0.01","Ten single attacks (1.54 each)","N","Lowest HP% enemy","0","Summoning","30543260","✓","✓"
"Follow-Up Status","Precise Guard Mode","","Timely Counter","PHY","Single enemy","Physical","1.92","Earth, NE","0.01","Six single attacks (0.32 each)","Y","Lowest HP% enemy","0","Knight","30544464","✓","✓"
"Follow-Up Status","Dark Phantom Mode","","Destruction","NAT","Single enemy","","","","0.01","Causes [Imperil Dark 10% (15s)] and [Imperil Fire 10% (15s)], grants [Buff Fire 10% (15s)] and [Buff Dark 10% (15s)] to the user","N","Lowest HP% enemy","0","Darkness","31540160","✓","✓"
"Follow-Up Status","Airborne Division Mode","","General's Spear","PHY","Single enemy","Physical","5.28","Lightning, Dark, NE","0.01","One single ranged attack (5.28) capped at 99999, 100% hit rate, grants [Damage Cap +20000 3] and [100% Critical 3] to the user, removes [Airborne Division Mode] from the user","Y","Lowest HP% enemy","0","Dragoon","31540699","✓","✓"
"Follow-Up Status","Dual Awoken Shadow King Mode II (Ardyn)","","Dual Unholy Power","PHY","Single enemy","Physical","2.81","Dark, Fire, NE","0.01","One single attack (2.81) capped at 99999, 100% hit rate, damages the user for 99% current HP","Y","Lowest HP% enemy","0","Darkness","31542128","","✓"
"Follow-Up Status","Chain Force Mode: Ardyn","","Kindred Guidance: Ardyn","PHY","Single enemy","Physical","1.28","Dark, Fire, NE","0.01","Four single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Darkness","31542126","","✓"
"Follow-Up Status","Dual Awoken Water God Mode I (Lunafreya)","","Dual Water God's Wrath","SUM","Single enemy","Magical","8.16","Water, Holy, NE","0.01","Three single attacks (2.72 each), causes [Imperil Water 10% (5s)]","N","Lowest HP% enemy","0","Summoning","31542123","","✓"
"Follow-Up Status","Dual Awoken Water God Mode II (Lunafreya)","","Dual Healing Shrine Maiden","WHT","All allies","","","","0.01","Restores HP (85), grants [Quick Cast 1]","N","All allies","0","White Magic","31542124","","✓"
"Follow-Up Status","Chain Force Mode: Noctis","","Earth Guidance: Noctis","PHY","Single enemy","Physical","2.05","Earth, NE","0.01","One single attack (1.95/2.05) capped at 99999 scaling with [Earth Guidance: Noctis Uses], grants [Earth Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Combat","31542117","","✓"
"Follow-Up Status","Grand Crush Follow-Up","","Grand Crush","PHY","Single enemy","Physical","1.76","Earth, NE","0.01","One single attack (1.76) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Combat","31542119","","✓"
"Follow-Up Status","Awoken Decorous Mode","","Healing Melody","WHT","All allies","","","","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","31542501","","✓"
"Follow-Up Status","Smart Archer Mode","","Tri-Shot Follow-Up","PHY","Single enemy","Physical","3.42","Fire, Ice, Water, NE","0.01","One single ranged attack (3.42) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","31542503","","✓"
"Follow-Up Status","Zenith Mode: Noctis (Lightning, Lightning)","","Spirit Attack: Noctis (Lightning)","PHY","Single enemy","Physical","4.80","Lightning, NE","0.01","Six single attacks (0.8 each), 0.9 if exploiting Lightning weakness","Y","Lowest HP% enemy","0","Combat","31542504","","✓"
"Follow-Up Status","Zenith Mode: Noctis (Earth)","","Spirit Attack: Noctis (Earth)","NAT","Self","","","","0.01","Grants [Damage Cap +10000 2] and [Weakness +30% Boost 2] to the user and Gladiolus","?","Self","0","Combat","","",""
"Follow-Up Status","Zenith Mode: Aranea (Lightning)","","Spirit Attack: Aranea","PHY","Single enemy","Physical","3.36","Lightning, Dark, NE","0.01","One single ranged jump attack (3.36) capped at 99999, grants [Quick Cast 3] to self/[Weakness +30% Boost 3] to party is 0-3/4+ XV allies are alive","Y","Lowest HP% enemy","0","Dragoon","31542505","","✓"
"Follow-Up Status","Chain Force Mode: Aranea","","Kindred Guidance: Aranea","PHY","Single enemy","Physical","1.95","Lightning, NE","0.01","One single ranged jump attack (1.95/2.05) capped at 99999, grants [Lightning Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Dragoon","31542512","","✓"
"Follow-Up Status","Dual Awoken Samurai Mode II (Cor)","","Dual Lion Flash","PHY","Single enemy","Physical","2.64","Fire, NE","0.01","One single attack (2.64) capped at 99999, causes [Imperil Prismatic 10% (15s)]/[Imperil Prismatic 30% (15s)] if 0-3/4+ XV allies are alive","Y","Lowest HP% enemy","0","Samurai","31542508","","✓"
"Follow-Up Status","Chain Force Mode: Cor","","Kindred Guidance: Cor","PHY","Single enemy","Physical","1.28","Fire, NE","0.01","Four single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31542514","","✓"
"Follow-Up Status","Zenith Mode: Cor (Fire)","","Spirit Attack: Cor","?","Self","","","","0.01","Grants [100% Critical 3] and [Quick Cast 3]/[PHY +30% Boost 3] to the user/party with at least 0-3/4+ XV members in the party","?","Self","0","Samurai","","",""
"Follow-Up Status","Zenith Mode: Ravus (Lightning, Dark)","","Spirit Attack: Ravus","?","Self","","","","0.01","Grants [Damage Cap +10000 2]/[Damage Cap +10000 2] and [(Lightning/Dark) Ability +30% Boost 2] to the user/all allies if there are 0-2/3+ allies with Attach Lightning or Dark in the party","?","Self","0","Spellblade","","",""
"Follow-Up Status","Seeker of Truth","","Knight's Lightblade","PHY","Single enemy","Physical","1.56","Holy, NE","0.01","Four single attacks (0.39 each), 100% hit rate","Y","Lowest HP% enemy","0","Support","30545011","✓","✓"
"Follow-Up Status","Divine Purge Follow-Up","","Divine Purge","NAT","Single enemy","","","","0.01","Causes [Imperil Holy 10%] for 15 seconds","Y","Lowest HP% enemy","0","Knight","30548241","✓","✓"
"Follow-Up Status","Hero-King Blade Follow-Up","","Hero-King Blade","PHY","Single enemy","Physical","1.84","Holy, Fire, Lightning, Ice, NE","0.01","Four single attacks (0.46 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547081","✓","✓"
"Follow-Up Status","Princess of Destiny EX Mode","","Holy Vengeance","WHT","Single enemy","Magical","9.00","Holy, NE","0.01","Six single attacks (1.50 each)","Y","Lowest HP% enemy","0","White Magic","30542150","✓","✓"
"Follow-Up Status","Saintly Judgment Blade Follow-Up","","Saintly Judgment Blade","NAT","Self","","","","0.01","If the user has [Thunder God's Might], grants [Instant Cast 1] and [Instant ATB 1], removes [Thunder God's Might]; otherwise grants  [Instant Cast 1]","N","Self","0","Knight","30544378","✓","✓"
"Follow-Up Status","Everlasting Darkness Follow-Up","","Everlasting Darkness","PHY","Single enemy","Physical","1.82","Dark, NE","0.01","Two single attacks (0.91 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","0","Darkness","30512124","✓","✓"
"Follow-Up Status","Incandescent Sear Follow-Up","","Incandescent Sear","NAT","Single enemy","","","","0.01","Causes [Imperil Holy 10%] for 15 seconds","Y","Lowest HP% enemy","0","Knight","30548441","✓","✓"
"Follow-Up Status","Denial of Fate Follow-Up","","Denial of Fate","NAT","Self","","","","0.01","Grants [Soul Break Gauge +250] and [Instant Cast 1], removes [Denial of Fate Follow-Up]","N","Self","0","Special","30545084","✓","✓"
"Follow-Up Status","Drain Blade Follow-Up","","Drain Blade 1","PHY","Single enemy","Physical","3.04","Dark, NE","0.01","Four single attacks (0.76 each), causes [ATK and MAG -50% (8s)], grants [ATK and MAG +50% (8s)] and [Physical High Quick Cast 2] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","30544383","✓","✓"
"Follow-Up Status","Drain Blade Follow-Up","","Drain Blade 2","PHY","Single enemy","Physical","3.04","Dark, NE","0.01","Four single attacks (0.76 each), heals the user for 20% of the damage dealt, grants [Physical Quick Cast 2] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","30544383","✓","✓"
"Follow-Up Status","Drain Blade Follow-Up","","Drain Blade 3","PHY","Single enemy","Physical","3.04","Dark, NE","0.01","Four single attacks (0.76 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","0","Darkness","30544383","✓","✓"
"Follow-Up Status","Unyielding Flurry Follow-Up","","Unyielding Flurry","PHY","Single enemy","Physical","8.90","Holy, Fire, Lightning, Ice, NE","0.01","Two single attacks (4.45 each), ignores DEF","Y","Lowest HP% enemy","0","Spellblade","31540430","✓","✓"
"Follow-Up Status","Ferocious Blade Follow-Up","","Ferocious Blade","PHY","Single enemy","Physical","1.95","Earth, Holy, NE","0.01","Five single attacks (0.39 each), causes [Debuff Lightning 10% (15s)], [Debuff Dark 10% (15s)], [Imperil Earth 10% (15s)] and [Imperil Holy 10% (15s)] every two uses","Y","Lowest HP% enemy","0","Knight","31540806","✓","✓"
"Follow-Up Status","Awoken Clanmate","","Trailing Combo","BLK","Single enemy","Magical","","","0.01","One single attack that deals 10000/20000/30000/40000/50000 damage at rank 1/2/3/4/5 of the triggering ability, grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","0","Black Magic","31540811","✓","✓"
"Follow-Up Status","Ace Follow-Up","","Ace Follow-Up","BLK","Single enemy","Magical","","Fire, NE","0.01","Randomly deals one (74%), two (25%) or thirteen (1%) single attacks (0.55 each)","Y","Lowest HP% enemy","0","Black Magic","30511645","✓","✓"
"Follow-Up Status","Top Card","","Force (Type-0)","BLK","Single enemy","Magical","4.08","Fire, NE","0.01","Two single attacks (2.04 each), grants [High Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","30541510","✓","✓"
"Follow-Up Status","Top Card","","Charge (Type-0)","BLK","Single enemy","Magical","4.08","Fire, NE","0.01","Two single attacks (2.04 each), restores 1500 HP to all allies in the character's row","Y","Lowest HP% enemy","0","Black Magic","30541511","✓","✓"
"Follow-Up Status","Top Card","","Burst (Type-0)","BLK","Single enemy","Magical","16.32","Fire, NE","0.01","Eight single attacks (2.04 each)","Y","Lowest HP% enemy","0","Black Magic","30541514","✓","✓"
"Follow-Up Status","Cure Melody Follow-Up","","Cure Melody","WHT","All allies","","2.00","Holy","0.01","Restores HP (25) to all allies","Y","All allies","0","White Magic","30542410","✓","✓"
"Follow-Up Status","Wild Lance Follow-Up","","Wild Lance","PHY","Single enemy","Physical","1.20","Wind, NE","0.01","One single ranged attack (1.20), 35% chance to cause [Imperil Wind 10%] for 15 seconds","Y","Lowest HP% enemy","0","Dragoon","30548014","✓","✓"
"Follow-Up Status","Assault Mode","","Rush Blade","PHY","Single enemy","Physical","","Earth, Dark, NE","0.01","Randomly deals four (30%), five (40%) or six (30%) single attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30544023","✓","✓"
"Follow-Up Status","Shard Smasher Follow-Up","","Shard Smasher","PHY","Single enemy","Physical","1.80","Ice, NE","0.01","Four single attacks (0.45 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","30548227","✓","✓"
"Follow-Up Status","Debuff Shot Follow-Up","","Fire Debuff Shot","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 10%] for 15 seconds","Y","Lowest HP% enemy","0","Machinist","30549152","✓","✓"
"Follow-Up Status","Debuff Shot Follow-Up","","Ice Debuff Shot","NAT","Single enemy","","","","0.01","Causes [Imperil Ice 10%] for 15 seconds","Y","Lowest HP% enemy","0","Machinist","30549153","✓","✓"
"Follow-Up Status","Debuff Shot Follow-Up","","Lightning Debuff Shot","NAT","Single enemy","","","","0.01","Causes [Imperil Lightning 10%] for 15 seconds","Y","Lowest HP% enemy","0","Machinist","30549154","✓","✓"
"Follow-Up Status","Concentrate (Type-0) Follow-Up","","Concentrate (Type-0)","NAT","Self","","","","0.01","Grants [Critical Damage +50% 1] and [Instant Cast 1]","N","Self","0","Special","30549178","✓","✓"
"Follow-Up Status","Blind Stud Follow-Up","","Blind Stud (BLK)","BLK","Single enemy","Magical","4.08","Fire, NE","0.01","Two single attacks (2.04 each), grants [Magical Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","30541811","✓","✓"
"Follow-Up Status","Blind Stud Follow-Up","","Blind Stud (SUM)","BLK","Single enemy","Magical","4.08","Fire, NE","0.01","Two single attacks (2.04 each), grants [Buff Fire 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","30541812","✓","✓"
"Follow-Up Status","Pulverizing Blow Follow-Up","","Pulverizing Blow","PHY","Single enemy","Physical","5.20","Earth, Dark, NE","0.01","One single attack (5.20) capped at 99999, 100% hit rate, grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","0","Spellblade","30547042","✓","✓"
"Follow-Up Status","Righteous Fist Mode","","Ice Cluster","PHY","Single enemy","Physical","6.12","Ice, NE","0.01","Six single attacks (1.02 each), 100% hit rate, grants [Physical Blink 3]","Y","Lowest HP% enemy","0","Monk","30548427","✓","✓"
"Follow-Up Status","Chilling Lash Follow-Up","","Chilling Lash","NAT","Single enemy","","","","0.01","Causes [Imperil Ice 10% (15s)] and [DEF, RES and MND -70% (8s)], removes positive effects","Y","Lowest HP% enemy","0","Black Magic","30541425","✓","✓"
"Follow-Up Status","Greased Trigger Mode","","Critical Enfilade","PHY","Single enemy","Physical","6.00","Lightning, NE","0.01","Twelve single ranged attacks (0.50 each), 50/75/100% additional critical chance if the user dealt 0/72001/240001 damage during the status, 100% hit rate, removes [Greased Trigger Mode] from the user","Y","Lowest HP% enemy","0","Machinist","30549253","✓","✓"
"Follow-Up Status","Rugged Bond Mode","","Safety Strike","PHY","Single enemy","Physical","0.82","Wind, NE","0.01","Two single ranged jump attacks (0.41 each), causes [Imperil Wind 10% (15s)], grants [40% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","0","Dragoon","30548319","✓","✓"
"Follow-Up Status","Unmatched Fury Mode","","Dawning Ignorance","PHY","Single enemy","Physical","4.02","Fire, NE","0.01","Six single attacks (0.67 each), 25% additional critical chance, grants [Stoneskin: 100%] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","30549218","✓","✓"
"Follow-Up Status","Triple Raining Arrows Follow-Up","","Fire Shield","PHY","Single enemy","Physical","0.80","Fire, Ice, Water, NE","0.01","Two single ranged attacks (0.40 each), grants [40% Damage Reduction Barrier 1] to all allies, 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","30549371","✓","✓"
"Follow-Up Status","Triple Raining Arrows Follow-Up","","Freeze Arrow","PHY","Single enemy","Physical","0.80","Fire, Ice, Water, NE","0.01","Two single ranged attacks (0.40 each), grants [Buff Ice 10% (15s)] to all allies every second cast, 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","30549372","✓","✓"
"Follow-Up Status","Triple Raining Arrows Follow-Up","","Rain Shot","PHY","Single enemy","Physical","0.80","Fire, Ice, Water, NE","0.01","Two single ranged attacks (0.40 each), causes [Imperil Water 10% (15s)] every second cast, 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","30549373","✓","✓"
"Follow-Up Status","Lance Flurry Follow-Up","","Lance Flurry","PHY","Single enemy","Physical","2.40","Earth, Dark, NE","0.01","Randomly deals 4/5/6 (30/40/30%) single attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31540022","✓","✓"
"Follow-Up Status","Heavy Debuff Shot Follow-Up","","Heavy Debuff Shot","NAT","Single enemy","","","","0.01","Causes [DEF, RES and MND -50% (8s)]","Y","Lowest HP% enemy","0","Machinist","31540146","✓","✓"
"Follow-Up Status","Plasma Snipe Mode","","Infinite Waltz","PHY","Single enemy","Physical","6.00","Lightning, NE","0.01","Twelve single ranged attacks (0.50 each), 100% hit rate, removes [Plasma Snipe Mode] from the user","Y","Lowest HP% enemy","0","Machinist","31540771","✓","✓"
"Follow-Up Status","Hit & Charge Follow-Up","","Hit & Charge (Fire)","PHY","Single enemy","Physical","2.96","Fire, Ice, Water, NE","0.01","Four single ranged attacks (0.74 each), causes [Debuff Ice 10% (15s)], grants [Fire Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","0","Sharpshooter","31540870","✓","✓"
"Follow-Up Status","Hit & Charge Follow-Up","","Hit & Charge (Ice)","PHY","Single enemy","Physical","2.96","Fire, Ice, Water, NE","0.01","Four single ranged attacks (0.74 each), causes [Debuff Wind 10% (15s)], grants [Ice Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","0","Sharpshooter","31540871","✓","✓"
"Follow-Up Status","Hit & Charge Follow-Up","","Hit & Charge (Water)","PHY","Single enemy","Physical","2.96","Fire, Ice, Water, NE","0.01","Four single ranged attacks (0.74 each), causes [Debuff Fire 10% (15s)], grants [Water Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","0","Sharpshooter","31540872","✓","✓"
"Follow-Up Status","Awoken Grand Mace","","Gaia Charge","PHY","Single enemy","Physical","4.26","Earth, Wind, NE","0.01","Six single attacks (0.71 each), 100% hit rate, grants [Heavy Charge +1] to the user","Y","Lowest HP% enemy","0","Heavy","31540898","✓","✓"
"Follow-Up Status","Ninja Slice Mode","","Callous Blade","PHY","Single enemy","Physical","3.52","Fire, NE","0.01","One single attack (3.52) capped at 99999, 100% additional critical chance, damages the user for 35%/25%/15%/5% max HP scaling with uses, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31541016","✓","✓"
"Follow-Up Status","Cross Spiral Follow-Up","","Cross Spiral","PHY","Single enemy","Physical","0.82","Wind, NE","0.01","Two single ranged jump attacks (0.41 each), 100% hit rate, causes [Imperil Wind 10% (15s)], grants [Wind Ability +30% Boost 1]/[Wind Ability +50% Boost 1] to the user after casting Cross Spiral 1/2+ times","Y","Lowest HP% enemy","0","Dragoon","31541189","✓","✓"
